1,1,Vision,,1,17:58.5,17:58.5,Vs
2,1,Risk-Tolerance,,1,17:58.5,17:58.5,Rt
3,1,Flexibility,,1,17:58.5,17:58.5,Fx
4,1,Assertiveness,,1,17:58.5,17:58.5,As
5,1,Internality,,1,17:58.5,17:58.5,It
6,1,Independence,,1,17:58.6,17:58.6,Id
7,2,Vigor,,1,17:58.6,17:58.6,Vg
8,2,Resilience,,1,17:58.6,17:58.6,Rs
9,2,Self-Belief,,1,17:58.6,17:58.6,Sb
10,2,Transcendence,,1,17:58.6,17:58.6,Tr
11,2,Receptivity,,1,17:58.6,17:58.6,Rc
12,3,Self-Discipline,,1,17:58.7,17:58.7,Sd
13,3,Determination,,1,17:58.7,17:58.7,Dt
14,3,Proactivity,,1,17:58.7,17:58.7,Pr
15,3,Achievement,,1,17:58.7,17:58.7,Ac
16,3,Innovativeness,,1,17:58.7,17:58.7,In
17,4,Achiever,,1,39:45.0,39:45.0,
18,4,Activator,,1,39:45.1,39:45.1,
19,4,Adaptability,,1,39:45.3,39:45.3,
20,4,Analytical,,1,39:45.4,39:45.4,
21,4,Arranger,,1,39:45.4,39:45.4,
22,4,Command,,1,39:45.5,39:45.5,
23,4,Communication,,1,39:45.6,39:45.6,
24,4,Competition,,1,39:45.7,39:45.7,
25,4,Consistency,,1,39:45.7,39:45.7,
26,4,Deliberative,,1,39:45.8,39:45.8,
27,4,Discipline,,1,39:45.8,39:45.8,
28,4,Empathy,,1,39:45.9,39:45.9,
29,4,Focus,,1,39:46.0,39:46.0,
30,4,Futuristic,,1,39:46.0,39:46.0,
31,4,Harmony,,1,39:46.1,39:46.1,
32,4,Ideation,,1,39:46.1,39:46.1,
33,4,Individualisation,,1,39:46.2,39:46.2,
34,4,Input,,1,39:46.3,39:46.3,
35,4,Learner,,1,39:46.3,39:46.3,
36,4,Maximiser,,1,39:46.4,39:46.4,
37,4,Relator,,1,39:46.4,39:46.4,
38,4,Responsibility,,1,39:46.5,39:46.5,
39,4,Restorative,,1,39:46.6,39:46.6,
40,4,Strategic,,1,39:46.7,39:46.7,
41,4,Woo,,1,39:46.8,39:46.8,
